backend,perplexity,nll_sum,token_count,mean_nll,delta_frac,pass,providers_used,threshold,error
transformers-gpu-compile,58.34344751286238,294936.2183303833,72531,4.066347056160584,0.0,True,,,
onnxruntime-cpu,58.34265741810369,294935.23609924316,72531,4.0663335139353265,-1.3542133562087952e-05,True,['CPUExecutionProvider'],0.001,
onnxruntime-gpu,58.35438384161863,294949.8128051758,72531,4.066534486015301,0.00018744742078934375,True,"['CUDAExecutionProvider', 'CPUExecutionProvider']",0.001,
tensorrt-fp32,58.34522535264584,294938.4284591675,72531,4.066377527666343,3.0471970019694804e-05,True,,0.001,
tensorrt-fp16,,,0,,,False,,,set_input_shape_failed:input_ids:4x128
tensorrt-int8,58.34431936477173,294937.3021850586,72531,4.066361999490681,1.494344174901052e-05,True,,0.02,
